GeneSymbol	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts
A1BG	4.21707197710577475	9.39892399587118632	1.76984196044604647	5.28762412069891141	14.53703422691939728	4.35609201523993317	5.24535389060123958	11.82848516207151590	10.43160704796236615	0.97273232199935233	0.00000000000000000	0.00000000000000000	0.73454653902488276	0.00000000000000000	4.87383155556088354	0.36861565919708078	0.00000000000000000	0.00000000000000000	6.20226440942023149	5.03473163732893170	9.84446770810716387	11.11786293671343095	4.39503732834953631	8.34023194172465310	13.72905642033916429	14.04680116173179627	0.86174931448159331
A2M	213.13370436145279996	324.02958011640009772	0.00000000000000000	0.00000000000000000	241.32239076361673824	17.30128582643802204	53.09793130159240349	0.00000000000000000	170.42065739190545060	1013.49942722115622473	0.00000000000000000	771.19493861451519479	2148.82412765019535072	177.47341729788101361	233.60868603896517470	80.41055715595290110	0.00000000000000000	0.00000000000000000	86.23911632972654218	0.00000000000000000	260.10235989414968572	205.58390603670130758	0.00000000000000000	0.00000000000000000	144.58245972729633877	121.71986295783867149	107.28698528151677749
AAK1	71.17910895300573770	129.59238450535431753	411.64178325117842405	196.60676944512690056	21.12468144770982903	878.21885400839016711	47.70507018194226134	410.34379478301804056	330.37920223707038758	173.06467593723206733	659.76300238140458987	1227.33476353425226080	52.59582575910081914	0.00000000000000000	128.46902542536992087	262.29440617192545915	106.29095836213949156	0.00000000000000000	280.86754952787401862	199.95363298562216414	110.47552442991568000	36.89838065585818327	394.11816650845480581	109.41894820383208753	146.28415875004264990	20.94349690271850051	79.65652395453489021
AAMDC	21.01615932900218198	5.33282249569925959	0.63731746052275451	3.26381886279710587	0.00000000000000000	21.01746730198372859	0.00000000000000000	11.73724660491265048	7.78236193561747491	10.74430988259329212	0.00000000000000000	12.17003557174123607	20.69630789019772266	5.45244837586712094	25.39595925024449841	5.06400830792044587	6.62456497334816596	0.00000000000000000	4.99224150042598946	0.00000000000000000	9.41784031384799469	4.37476397198866351	13.27103526397515409	0.00000000000000000	1.31543769707330993	3.92740095777611975	29.21481697815587708
AAMP	84.51170257535447661	33.49400414878208210	48.68486350971718224	40.55260951110548007	22.31375012988986128	35.93362216275541243	0.00000000000000000	77.14449055511424547	34.21043943745634408	52.26265816299387978	0.00000000000000000	146.63873309928877120	75.54973993017148359	64.97731665206673313	80.29738093490361450	76.59521653772895888	85.79283806500491494	0.00000000000000000	39.90347120620291577	0.00000000000000000	41.44568185444949648	23.71351220165814411	42.81760203162406953	25.66575339148087309	112.62270846902002575	24.91599129988775374	32.11190655992335508
AASDHPPT	46.83563268315390360	16.44827384524871050	25.86379909849978986	18.44370193854524587	0.00000000000000000	33.61588517762248784	21.19136034705718430	0.00000000000000000	55.30169079489504469	19.47409695258348705	176.18809978319484344	0.00000000000000000	37.85935644111855680	1.54178304215022255	48.61627495080314532	57.56120084441897689	61.09708492966672111	0.00000000000000000	19.23045602431733414	43.31264548309580675	8.17702317905829901	13.47539426509462324	20.54118958051786237	14.98339219779312259	0.00000000000000000	15.01648216369201272	16.70599785064240450
AATF	36.05836690244768050	22.38667607947041205	39.71027115465125235	34.68774272323766183	28.67439119243510603	0.00000000000000000	0.00000000000000000	42.84770242132884022	5.06367189983383348	22.72316939534857028	0.00000000000000000	0.00000000000000000	29.37176594709294974	38.34457355404488510	49.84815224019118318	49.58422877205754276	50.38705346640352900	101.60575839965369482	30.90788153982730435	8.68134145907305488	20.37310248381160704	23.16612952765834166	45.45783908307304699	25.09701367884215273	10.43600397532633828	25.06157078422177875	24.14632259791299518
ABCA1	65.35408647683006222	152.07985173698290282	45.25554150241582363	2.37814912425208602	0.00000000000000000	115.17215808430948698	47.72506263579096242	22.97230856871113858	0.00000000000000000	187.26124552608615659	0.00000000000000000	0.00000000000000000	123.07212252916946227	0.00000000000000000	58.31291882395045434	130.18804556942467343	65.87128688321091374	560.45383417682114668	26.78414961715402143	87.16331446613848755	107.84738656123693090	97.03934518299720935	0.00000000000000000	91.28206053754355764	91.46905489949537582	0.00000000000000000	74.65679742530178942
ABCA7	6.59723080996762334	25.84359101386982616	5.99528854478156070	8.64056419924824581	0.00000000000000000	37.59926563930012833	27.80040629740610214	37.44315051250082860	30.75585354256828907	9.53183658363942676	0.00000000000000000	0.00000000000000000	3.72540058280112785	18.61278127127091153	0.76804859358468458	6.63415995192174801	6.59621906197366670	0.00000000000000000	11.96510255896758501	20.28725357931541495	5.09269006811940184	5.15930369598424310	19.21028005136377814	5.83746044642176987	0.00000000000000000	7.91362394995325058	113.80522032729568593
ABCB1	0.87116012815886956	8.86897119771130171	109.22157230258387983	21.82811521740277527	25.67839958140007539	149.74471316677352206	10.64718203803980501	209.43472280523207019	27.12982838451426204	4.48189144692704300	121.05051456974982216	20.02240043931228897	1.97565323365350642	3.03129577834597974	0.00000000000000000	26.12069191926714140	16.21141413207064375	0.00000000000000000	29.34527052820224924	6.52984332743738261	0.00000000000000000	0.00000000000000000	76.82349215392916619	51.52461266831527098	0.00000000000000000	0.00000000000000000	2.27941794981791812
